song_name;artist_name;duration_sec;listeners_count;song_rank;country;source_date
Chains of Love;Charli xcx;170;666;0;Russian Federation;2025-11-19
House featuring John Cale;Charli xcx;0;581;1;Russian Federation;2025-11-19
Berghain;ROSALÍA;178;574;2;Russian Federation;2025-11-19
Reliquia;ROSALÍA;230;489;3;Russian Federation;2025-11-19
Sexo, Violencia y Llantas;ROSALÍA;140;461;4;Russian Federation;2025-11-19
Predictable Girl;FKA twigs;147;453;5;Russian Federation;2025-11-19
The Fate of Ophelia;Taylor Swift;226;451;6;Russian Federation;2025-11-19
Divinize;ROSALÍA;243;448;7;Russian Federation;2025-11-19
Dracula;Tame Impala;205;443;8;Russian Federation;2025-11-19
PIXELATED KISSES;Joji;110;425;9;Russian Federation;2025-11-19
Porcelana;ROSALÍA;247;422;10;Russian Federation;2025-11-19
HARD;FKA twigs;214;411;11;Russian Federation;2025-11-19
Cheap Hotel;FKA twigs;211;408;12;Russian Federation;2025-11-19
Love Crimes;FKA twigs;160;398;13;Russian Federation;2025-11-19
De Madrugá;ROSALÍA;104;393;14;Russian Federation;2025-11-19
Tears;Sabrina Carpenter;160;383;15;Russian Federation;2025-11-19
Slushy;FKA twigs;213;379;16;Russian Federation;2025-11-19
Sushi;FKA twigs;322;374;17;Russian Federation;2025-11-19
Dios Es Un Stalker;ROSALÍA;131;372;18;Russian Federation;2025-11-19
Von dutch;Charli xcx;164;363;19;Russian Federation;2025-11-19
овердоз;Тёмный принц;0;360;20;Russian Federation;2025-11-19
Wild And Alone (feat. PinkPantheress);FKA twigs;0;357;21;Russian Federation;2025-11-19
La Perla;ROSALÍA;0;351;22;Russian Federation;2025-11-19
Abracadabra;Lady Gaga;239;337;23;Russian Federation;2025-11-19
Mundo Nuevo;ROSALÍA;140;323;24;Russian Federation;2025-11-19
Touch A Girl;FKA twigs;179;323;25;Russian Federation;2025-11-19
La Yugular;ROSALÍA;258;321;26;Russian Federation;2025-11-19
Mio Cristo Piange Diamanti;ROSALÍA;269;320;27;Russian Federation;2025-11-19
WHERE IS MY HUSBAND!;RAYE;196;320;28;Russian Federation;2025-11-19
Piece of Mine;FKA twigs;195;317;29;Russian Federation;2025-11-19
Fame Is a Gun;Addison Rae;182;316;30;Russian Federation;2025-11-19
In the End;Linkin Park;216;314;31;Russian Federation;2025-11-19
All I Need;Radiohead;280;308;32;Russian Federation;2025-11-19
ВКЛУБЕ;Тёмный принц;0;306;33;Russian Federation;2025-11-19
360;Charli xcx;130;306;34;Russian Federation;2025-11-19
Sauvignon blanc;ROSALÍA;162;305;35;Russian Federation;2025-11-19
Lost All My Friends;FKA twigs;224;305;36;Russian Federation;2025-11-19
Creep;Radiohead;235;303;37;Russian Federation;2025-11-19
Hula Girl;The Neighbourhood;244;302;38;Russian Federation;2025-11-19
Numb;Linkin Park;214;300;39;Russian Federation;2025-11-19
Change (In the House of Flies);Deftones;299;299;40;Russian Federation;2025-11-19
No Surprises;Radiohead;226;298;41;Russian Federation;2025-11-19
Past Won't Leave My Bed;Joji;166;296;42;Russian Federation;2025-11-19
Magnolias;ROSALÍA;194;295;43;Russian Federation;2025-11-19
My Own Summer (Shove It);Deftones;215;293;44;Russian Federation;2025-11-19
The Less I Know the Better;Tame Impala;217;284;45;Russian Federation;2025-11-19
Let Down;Radiohead;337;283;46;Russian Federation;2025-11-19
Karma Police;Radiohead;263;283;47;Russian Federation;2025-11-19
Stereo Boy;FKA twigs;291;281;48;Russian Federation;2025-11-19
Vanished;Crystal Castles;304;281;49;Russian Federation;2025-11-19
Private;The Neighbourhood;229;278;50;Russian Federation;2025-11-19
